animal_rate_per_hr,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
5,col_rate,control_vs_detection,15,15,11.6825,8.88889,0.463686,25.7944,0.646762,none,,,,,,,-2.79365,-13.6667,9.09563,23.913,-133.333,100
5,col_rate,control_vs_aware,15,15,11.6825,8.88889,0.463686,25.7944,0.646762,none,,,,,,,-2.79365,-13.6667,9.09563,23.913,-133.333,100
5,col_rate,detection_vs_aware,15,15,8.88889,8.88889,0,28,1,none,,,,,,,0,-13.3333,13.3333,0,-350,100
15,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
15,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
15,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
30,col_rate,control_vs_detection,15,15,11.6825,5.38836,1.52815,22.1484,0.140632,poisson,1.07416,0.474407,0.192772,1.1675,-1.62294,0.104602,-6.29418,-14.2023,1.36477,53.8768,-24.1617,85.455
30,col_rate,control_vs_aware,15,15,11.6825,5.38836,1.52815,22.1484,0.140632,poisson,1.07416,0.474407,0.192772,1.1675,-1.62294,0.104602,-6.29418,-14.2023,1.36477,53.8768,-24.1617,85.455
30,col_rate,detection_vs_aware,15,15,5.38836,5.38836,0,28,1,poisson,1.32059,1,0.416221,2.40257,2.48253e-16,1,0,-5.4162,5.32248,0,-223.387,69.4625
60,col_rate,control_vs_detection,15,15,11.6825,6.14474,1.46608,17.0705,0.160806,poisson,0.8252,0.527778,0.244214,1.14059,-1.62542,0.104073,-5.5378,-12.9544,1.57564,47.4024,-29.6956,72.7713
60,col_rate,control_vs_aware,15,15,11.6825,6.14474,1.46608,17.0705,0.160806,poisson,0.8252,0.527778,0.244214,1.14059,-1.62542,0.104073,-5.5378,-12.9544,1.57564,47.4024,-29.6956,72.7713
60,col_rate,detection_vs_aware,15,15,6.14474,6.14474,0,28,1,poisson,0.822659,1,0.561035,1.78242,1.50598e-15,1,0,-3.24216,3.18381,0,-72.827,43.199
120,col_rate,control_vs_detection,15,15,11.6825,5.01002,1.83622,14.7898,0.0865083,poisson,0.65988,0.416707,0.199867,0.868803,-2.33517,0.0195344,-6.67252,-13.924,0.0383349,57.1153,-0.837393,75.24
120,col_rate,control_vs_aware,15,15,11.6825,6.21061,1.4699,16.2009,0.16074,poisson,1.01075,0.542857,0.265378,1.11047,-1.67304,0.0943187,-5.47193,-12.8923,1.61264,46.8385,-30.3537,70.4426
120,col_rate,detection_vs_aware,15,15,5.01002,6.21061,-1.02263,22.8643,0.31718,poisson,0.842889,1.30273,0.83451,2.03366,1.16385,0.244485,1.20059,-0.885554,3.58104,-23.9639,-82.8171,15.7032
240,col_rate,control_vs_detection,15,15,11.6825,6.24324,1.49432,14.887,0.155985,poisson,0.870486,0.528512,0.266361,1.04867,-1.82407,0.0681418,-5.4393,-12.6034,1.38983,46.5592,-27.391,68.171
240,col_rate,control_vs_aware,15,15,11.6825,5.56899,1.67693,14.9771,0.114297,poisson,0.99107,0.469136,0.235621,0.934079,-2.15409,0.0312335,-6.11355,-13.3034,0.72011,52.3307,-13.9844,72.142
240,col_rate,detection_vs_aware,15,15,6.24324,5.56899,0.728792,27.9346,0.472195,poisson,1.03382,0.887654,0.657468,1.19843,-0.778114,0.436502,-0.674252,-2.38422,1.11908,10.7997,-20.2948,33.8311
