awareness_persist_s,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
10,col_rate,control_vs_detection,15,15,11.6825,8.6746,0.636518,27.3826,0.529724,poisson,0.906077,0.66417,0.247347,1.78341,-0.812016,0.416783,-3.00794,-12.0159,6,25.7473,-96.2136,74.4199
10,col_rate,control_vs_aware,15,15,11.6825,8.6746,0.636518,27.3826,0.529724,poisson,0.906077,0.66417,0.247347,1.78341,-0.812016,0.416783,-3.00794,-12.0159,6,25.7473,-96.2136,74.4199
10,col_rate,detection_vs_aware,15,15,8.6746,8.6746,0,28,1,poisson,0.984414,1,0.350756,2.85098,-1.03852e-16,1,0,-8.10337,8.33353,0,-205.488,67.0929
30,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
30,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
30,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
60,col_rate,control_vs_detection,15,15,11.6825,8.18254,0.767433,26.5363,0.449599,poisson,0.850939,0.66417,0.247347,1.78341,-0.812016,0.416783,-3.5,-12.2381,5.07242,29.9592,-84.067,75.4166
60,col_rate,control_vs_aware,15,15,11.6825,8.18254,0.767433,26.5363,0.449599,poisson,0.850939,0.66417,0.247347,1.78341,-0.812016,0.416783,-3.5,-12.2381,5.07242,29.9592,-84.067,75.4166
60,col_rate,detection_vs_aware,15,15,8.18254,8.18254,0,28,1,poisson,0.874138,1,0.350756,2.85098,-5.19259e-16,1,0,-7.61151,7.61925,0,-194.87,65.9825
120,col_rate,control_vs_detection,15,15,11.6825,12.1561,-0.0882575,27.6782,0.930308,poisson,0.930744,0.981912,0.398993,2.41646,-0.0397273,0.968311,0.473545,-9.68294,10.6377,-4.05344,-171.738,61.9083
120,col_rate,control_vs_aware,15,15,11.6825,12.1561,-0.0882575,27.6782,0.930308,poisson,0.930744,0.981912,0.398993,2.41646,-0.0397273,0.968311,0.473545,-9.68294,10.6377,-4.05344,-171.738,61.9083
120,col_rate,detection_vs_aware,15,15,12.1561,12.1561,0,28,1,poisson,1.03375,1,0.416221,2.40257,-3.10317e-16,1,0,-10.7224,10.5743,0,-169.428,63.2478
