cruise_speed_kmh,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
60,col_rate,control_vs_detection,15,15,11.6825,5.51347,1.4149,24.9273,0.169469,poisson,0.796491,0.444444,0.148947,1.32618,-1.45387,0.145982,-6.16907,-14.4604,2.27115,52.8059,-38.0471,88.6733
60,col_rate,control_vs_aware,15,15,11.6825,5.51347,1.4149,24.9273,0.169469,poisson,0.796491,0.444444,0.148947,1.32618,-1.45387,0.145982,-6.16907,-14.4604,2.27115,52.8059,-38.0471,88.6733
60,col_rate,detection_vs_aware,15,15,5.51347,5.51347,0,28,1,poisson,0.765242,1,0.289496,3.45428,1.05325e-15,1,0,-6.43939,6.66667,0,-316.855,77.6372
80,col_rate,control_vs_detection,15,15,11.6825,6.61111,1.00239,27.9997,0.324738,poisson,1.14095,0.496732,0.16647,1.48221,-1.25446,0.209675,-5.07143,-14.5004,4.7619,43.4103,-68.577,91.39
80,col_rate,control_vs_aware,15,15,11.6825,6.61111,1.00239,27.9997,0.324738,poisson,1.14095,0.496732,0.16647,1.48221,-1.25446,0.209675,-5.07143,-14.5004,4.7619,43.4103,-68.577,91.39
80,col_rate,detection_vs_aware,15,15,6.61111,6.61111,0,28,1,poisson,1.45417,1,0.289497,3.45427,8.7771e-17,1,0,-9.66667,9.55694,0,-515.042,86.8421
100,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
100,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
100,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
120,col_rate,control_vs_detection,15,15,11.6825,7,0.992497,27.3522,0.329655,poisson,0.97637,0.562963,0.200378,1.58165,-1.09012,0.275662,-4.68254,-13.5317,4.48413,40.0815,-67.6604,84.8801
120,col_rate,control_vs_aware,15,15,11.6825,7,0.992497,27.3522,0.329655,poisson,0.97637,0.562963,0.200378,1.58165,-1.09012,0.275662,-4.68254,-13.5317,4.48413,40.0815,-67.6604,84.8801
120,col_rate,detection_vs_aware,15,15,7,7,0,28,1,poisson,1.125,1,0.322515,3.10063,1.44222e-16,1,0,-8.33333,8,0,-303.833,76.1905
