driver_reaction_s,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
0.5,col_rate,control_vs_detection,15,15,11.6825,6.35979,1.26589,23.2367,0.218097,poisson,0.739963,0.615741,0.229311,1.65337,-0.962252,0.335923,-5.32275,-13.3974,2.58201,45.5616,-43.5393,81.1265
0.5,col_rate,control_vs_aware,15,15,11.6825,6.35979,1.26589,23.2367,0.218097,poisson,0.739963,0.615741,0.229311,1.65337,-0.962252,0.335923,-5.32275,-13.3974,2.58201,45.5616,-43.5393,81.1265
0.5,col_rate,detection_vs_aware,15,15,6.35979,6.35979,0,28,1,poisson,0.652187,1,0.350756,2.85098,9.34667e-16,1,0,-5.93651,5.83069,0,-196.015,66.5104
1,col_rate,control_vs_detection,15,15,11.6825,4,1.84102,22.8462,0.0786421,poisson,0.906727,0.301587,0.081646,1.11401,-1.79804,0.07217,-7.68254,-15.6825,0.190476,65.7609,-2.26532,100
1,col_rate,control_vs_aware,15,15,11.6825,4,1.84102,22.8462,0.0786421,poisson,0.906727,0.301587,0.081646,1.11401,-1.79804,0.07217,-7.68254,-15.6825,0.190476,65.7609,-2.26532,100
1,col_rate,detection_vs_aware,15,15,4,4,0,28,1,poisson,0.985714,1,0.201831,4.95464,5.43899e-16,1,0,-5.33333,5.33333,0,-300,100
1.5,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
1.5,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
1.5,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
2.5,col_rate,control_vs_detection,15,15,11.6825,3.1746,1.98422,24.1874,0.0586893,poisson,0.997203,0.219336,0.0473897,1.01517,-1.94075,0.0522891,-8.50794,-16.5556,-0.316667,72.8261,4.7619,100
2.5,col_rate,control_vs_aware,15,15,11.6825,3.1746,1.98422,24.1874,0.0586893,poisson,0.997203,0.219336,0.0473897,1.01517,-1.94075,0.0522891,-8.50794,-16.5556,-0.316667,72.8261,4.7619,100
2.5,col_rate,detection_vs_aware,15,15,3.1746,3.1746,0,28,1,poisson,1.16667,1,0.140858,7.09933,-7.77156e-16,1,0,-6.66667,6.34921,0,-466.667,100
4,col_rate,control_vs_detection,15,15,11.6825,5.59259,1.39116,25.0942,0.17639,poisson,0.970497,0.435281,0.145876,1.29884,-1.49122,0.135903,-6.08995,-14.5718,2.3545,52.1286,-39.5639,90.1964
4,col_rate,control_vs_aware,15,15,11.6825,5.59259,1.39116,25.0942,0.17639,poisson,0.970497,0.435281,0.145876,1.29884,-1.49122,0.135903,-6.08995,-14.5718,2.3545,52.1286,-39.5639,90.1964
4,col_rate,detection_vs_aware,15,15,5.59259,5.59259,0,28,1,poisson,1.11325,1,0.289496,3.45427,4.38854e-16,1,0,-6.7037,6.85185,0,-322.222,80.8917
