hesitate_dwell_max,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
1,col_rate,control_vs_detection,15,15,11.6825,3.83333,1.88075,22.8521,0.0728106,poisson,0.915953,0.284644,0.0770592,1.05143,-1.88477,0.0594604,-7.84921,-15.9048,0.0565476,67.1875,-1.35399,100
1,col_rate,control_vs_aware,15,15,11.6825,3.83333,1.88075,22.8521,0.0728106,poisson,0.915953,0.284644,0.0770592,1.05143,-1.88477,0.0594604,-7.84921,-15.9048,0.0565476,67.1875,-1.35399,100
1,col_rate,detection_vs_aware,15,15,3.83333,3.83333,0,28,1,poisson,1.00417,1,0.201831,4.95465,7.47861e-16,1,0,-5.66667,5.50417,0,-400,100
2,col_rate,control_vs_detection,15,15,11.6825,4.19048,1.74889,24.1452,0.0930144,poisson,0.899584,0.438672,0.13509,1.42449,-1.37122,0.170306,-7.49206,-15.6667,0.65119,64.1304,-9.89286,100
2,col_rate,control_vs_aware,15,15,11.6825,4.19048,1.74889,24.1452,0.0930144,poisson,0.899584,0.438672,0.13509,1.42449,-1.37122,0.170306,-7.49206,-15.6667,0.65119,64.1304,-9.89286,100
2,col_rate,detection_vs_aware,15,15,4.19048,4.19048,0,28,1,poisson,0.971429,1,0.250091,3.99854,-1.49159e-15,1,0,-6.28571,6.47619,0,-400,100
3,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
3,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
3,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
5,col_rate,control_vs_detection,15,15,11.6825,7.37566,0.825312,27.9098,0.416193,poisson,1.09238,0.767677,0.285894,2.06135,-0.524626,0.599843,-4.30688,-13.8255,5.89418,36.8659,-89.795,91.1111
5,col_rate,control_vs_aware,15,15,11.6825,7.37566,0.825312,27.9098,0.416193,poisson,1.09238,0.767677,0.285894,2.06135,-0.524626,0.599843,-4.30688,-13.8255,5.89418,36.8659,-89.795,91.1111
5,col_rate,detection_vs_aware,15,15,7.37566,7.37566,0,28,1,poisson,1.35703,1,0.350756,2.85098,-4.15407e-16,1,0,-10.0532,10.2328,0,-506.686,86.5086
8,col_rate,control_vs_detection,15,15,11.6825,5.07937,1.53504,24.3354,0.137674,poisson,0.871353,0.496732,0.16647,1.48221,-1.25446,0.209675,-6.60317,-14.7778,1.61944,56.5217,-28.0833,92.0725
8,col_rate,control_vs_aware,15,15,11.6825,5.07937,1.53504,24.3354,0.137674,poisson,0.871353,0.496732,0.16647,1.48221,-1.25446,0.209675,-6.60317,-14.7778,1.61944,56.5217,-28.0833,92.0725
8,col_rate,detection_vs_aware,15,15,5.07937,5.07937,0,28,1,poisson,0.914966,1,0.289496,3.45428,3.51083e-16,1,0,-6.34921,6.19048,0,-342.857,82.0513
