vehicles_per_dir,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
1,col_rate,control_vs_detection,15,15,11.6825,0.444444,3.11213,14.4306,0.00741671,poisson,0.854346,0.0422222,0.00534928,0.333263,-3.00245,0.00267813,-11.2381,-18.4444,-4.47579,96.1957,83.7838,100
1,col_rate,control_vs_aware,15,15,11.6825,0.444444,3.11213,14.4306,0.00741671,poisson,0.854346,0.0422222,0.00534928,0.333263,-3.00245,0.00267813,-11.2381,-18.4444,-4.47579,96.1957,83.7838,100
1,col_rate,detection_vs_aware,15,15,0.444444,0.444444,0,28,1,poisson,0.880952,1,0.0625457,15.9883,1.57009e-16,1,0,-1.33333,1.33333,0,-200,100
2,col_rate,control_vs_detection,15,15,11.6825,1.66667,2.53424,19.7857,0.0198338,poisson,1.2353,0.168889,0.0364901,0.781676,-2.27509,0.0229007,-10.0159,-17.6202,-2.66667,85.7337,39.126,100
2,col_rate,control_vs_aware,15,15,11.6825,1.66667,2.53424,19.7857,0.0198338,poisson,1.2353,0.168889,0.0364901,0.781676,-2.27509,0.0229007,-10.0159,-17.6202,-2.66667,85.7337,39.126,100
2,col_rate,detection_vs_aware,15,15,1.66667,1.66667,0,28,1,negbin,1.64286,1,0.121316,8.24292,7.22129e-16,1,0,-5,5,0,-200,100
4,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
4,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
4,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
8,col_rate,control_vs_detection,15,15,11.6825,9.00529,0.569273,27.2902,0.573827,poisson,0.887399,0.8,0.317557,2.01538,-0.473359,0.635957,-2.67725,-11.778,6.13254,22.9167,-102.236,73.3075
8,col_rate,control_vs_aware,15,15,11.6825,9.00529,0.569273,27.2902,0.573827,poisson,0.887399,0.8,0.317557,2.01538,-0.473359,0.635957,-2.67725,-11.778,6.13254,22.9167,-102.236,73.3075
8,col_rate,detection_vs_aware,15,15,9.00529,9.00529,0,28,1,poisson,0.947058,1,0.396947,2.51923,1.17757e-16,1,0,-8.14815,8.25463,0,-197.697,65.7487
16,col_rate,control_vs_detection,15,15,11.6825,20.0079,-1.31923,24.8648,0.199114,poisson,0.891238,1.81716,0.810018,4.07654,1.44888,0.147371,8.3254,-3.62698,20.4452,-71.2636,-328.586,23.7638
16,col_rate,control_vs_aware,15,15,11.6825,20.0079,-1.31923,24.8648,0.199114,poisson,0.891238,1.81716,0.810018,4.07654,1.44888,0.147371,8.3254,-3.62698,20.4452,-71.2636,-328.586,23.7638
16,col_rate,detection_vs_aware,15,15,20.0079,20.0079,0,28,1,poisson,0.954737,1,0.510548,1.95868,8.09211e-16,1,0,-14.1192,14.0319,0,-116.949,55.0751
